iem_cd,name,ticker,sector,industry,up52wk,down52wk,변동률(%),sector2
US45408X3089,"India Globalization Capital, Inc.",IGC,Industrials,Conglomerates,1.79,0.42,326.1904762,제조
US0956331039,"Bluejay Diagnostics, Inc.",BJDX,Healthcare,Medical Devices,6.25,0.81,671.6049383,의료/의약
CA98985W1023,Zymeworks Inc.,ZYME,Healthcare,Biotechnology,29.62,4.11,620.6812652,의료/의약
US00848K1016,"AgEagle Aerial Systems, Inc.",UAVS,Technology,Computer Hardware,3.37,0.46,632.6086957,제조
US09263B1089,BlackSky Technology Inc.,BKSY,Technology,Scientific & Technical Instruments,11.48,1,1048,IT
KYG514001026,"Jiuzi Holdings, Inc.",JZXN,Consumer Cyclical,Auto & Truck Dealerships,2.72,0.306,788.8888889,기타
IL0011552663,Gamida Cell Ltd.,GMDA,Healthcare,Biotechnology,4.72,1.47,221.0884354,의료/의약
MHY6430L1039,OceanPal Inc.,OP,Industrials,Marine Shipping,12.09,0.34,3455.882353,운송/운수
IL0011327454,Vascular Biogenics Ltd.,VBLT,Healthcare,Biotechnology,2.54,0.145,1651.724138,의료/의약
VGG6593L1067,"Nisun International Enterprise Development Group Co., Ltd",NISN,Financial Services,Credit Services,17.83,0.463,3750.971922,금융업
IL0011745804,Innoviz Technologies Ltd.,INVZ,Consumer Cyclical,Auto Parts,8.03,2.89,177.8546713,IT
US58471G3002,Medigus Ltd.,MDGS,Healthcare,Medical Devices,1.78,0.428,315.8878505,의료/의약
CA58490H1073,Medicenna Therapeutics Corp.,MDNA.TO,Healthcare,Biotechnology,3.67,0.98,274.4897959,의료/의약
US00773J1034,"Aeglea BioTherapeutics, Inc.",AGLE,Healthcare,Biotechnology,8.5,0.372,2184.946237,의료/의약
US7310941080,"PolarityTE, Inc.",PTE,Healthcare,Biotechnology,20.75,0.61,3301.639344,의료/의약
US74969N1037,RLX Technology Inc.,RLX,Consumer Defensive,Tobacco,6.465,1.01,540.0990099,서비스/오락/문화
US23254L6039,"Cyclacel Pharmaceuticals, Inc.",CYCC,Healthcare,Biotechnology,5.85,1.01,479.2079208,의료/의약
CA4283043079,HEXO Corp.,HEXO.TO,Healthcare,Drug Manufacturers—Specialty & Generic,2.44,0.23,960.8695652,의료/의약
US67079U1088,"Nutex Health, Inc.",NUTX,Healthcare,Health Information Services,52.8,1.42,3618.309859,의료/의약
US71678J1007,"Petros Pharmaceuticals, Inc.",PTPI,Healthcare,Drug Manufacturers—Specialty & Generic,5.2,0.376,1282.978723,의료/의약
US31447E1055,Femasys Inc.,FEMY,Healthcare,Medical Instruments & Supplies,8.1,1.18,586.440678,의료/의약
US89237H2094,"TRACON Pharmaceuticals, Inc.",TCON,Healthcare,Biotechnology,4.14,1.243,233.0651649,의료/의약
US46583A2042,"Iveda Solutions, Inc.",IVDA,Industrials,Security & Protection Services,19.52,0.47,4053.191489,제조
US82003F1012,"Sharps Technology, Inc.",STSS,Healthcare,Medical Instruments & Supplies,3.62,0.82,341.4634146,의료/의약
US8342233074,"Soligenix, Inc.",SNGX,Healthcare,Biotechnology,1.12,0.38,194.7368421,의료/의약
US0547548745,"Aytu BioPharma, Inc.",AYTU,Healthcare,Drug Manufacturers—Specialty & Generic,2.99,0.18,1561.111111,의료/의약
KYG2287A1004,"Color Star Technology Co., Ltd.",CSCW,Communication Services,Entertainment,36,1.09,3202.752294,서비스/오락/문화
US71715X2036,"PharmaCyte Biotech, Inc.",PMCB,Healthcare,Biotechnology,3.22,1.79,79.88826816,의료/의약
US09060U5074,"BioCardia, Inc.",BCDA,Healthcare,Biotechnology,3.19,1.1,190,의료/의약
US3736785078,"GeoVax Labs, Inc.",GOVX,Healthcare,Biotechnology,5.61,0.55,920,의료/의약
US02262M3088,"Alzamend Neuro, Inc.",ALZN,Healthcare,Biotechnology,3.57,0.801,345.6928839,의료/의약
US67577R1023,"Ocuphire Pharma, Inc.",OCUP,Healthcare,Biotechnology,5.5,1.78,208.988764,의료/의약
US00912N2053,Air Industries Group,AIRI,Industrials,Aerospace & Defense,1.3,0.64,103.125,제조
US30218B1008,Expion360 Inc.,XPON,Industrials,Electrical Equipment & Parts,11.29,1.825,518.630137,전기/전자
US78472W1045,SQZ Biotechnologies Company,SQZ,Healthcare,Biotechnology,15.27,2.002,662.7372627,의료/의약
VGG870841100,"TDH Holdings, Inc.",PETZ,Consumer Defensive,Packaged Foods,188,1.7,10958.82353,제조
US88362L1008,"ThermoGenesis Holdings, Inc.",THMO,Healthcare,Medical Devices,2.12,0.09,2255.555556,의료/의약
US60879E1010,Momentus Inc.,MNTS,Industrials,Aerospace & Defense,11.79,1.36,766.9117647,제조
US95075A1079,"Werewolf Therapeutics, Inc.",HOWL,Healthcare,Biotechnology,18.22,3.42,432.748538,의료/의약
US92941V2097,VYNE Therapeutics Inc.,VYNE,Healthcare,Biotechnology,1.75,0.225,677.7777778,의료/의약
US5393192027,"Lixte Biotechnology Holdings, Inc.",LIXT,Healthcare,Biotechnology,4.95,0.43,1051.162791,의료/의약
US76954A1034,"Rivian Automotive, Inc.",RIVN,Consumer Cyclical,Auto Manufacturers,179.47,19.25,832.3116883,제조
US5949603048,"MicroVision, Inc.",MVIS,Technology,Scientific & Technical Instruments,11.3,2.5,352,IT
US2546871060,The Walt Disney Company,DIS,Communication Services,Entertainment,179.63,90.23,99.08012856,서비스/오락/문화
US7710491033,Roblox Corporation,RBLX,Communication Services,Electronic Gaming & Multimedia,141.6,21.65,554.0415704,서비스/오락/문화
US18914F1030,"Clover Health Investments, Corp.",CLOV,Healthcare,Healthcare Plans,8.58,1.92,346.875,의료/의약
LR0008862868,Royal Caribbean Cruises Ltd.,RCL,Consumer Cyclical,Travel Services,98.27,31.09,216.0823416,서비스/오락/문화
US52567D1072,"Lemonade, Inc.",LMND,Financial Services,Insurance—Property & Casualty,79.54,15.99,397.4358974,금융업
US45258H1068,"Immix Biopharma, Inc.",IMMX,Healthcare,Biotechnology,8.68,1.25,594.4,의료/의약
US5949181045,Microsoft Corporation,MSFT,Technology,Software—Infrastructure,349.67,234.5,49.1130064,IT
US67066G1040,NVIDIA Corporation,NVDA,Technology,Semiconductors,346.47,122.14,183.6662846,전기/전자
US15961R1059,"ChargePoint Holdings, Inc.",CHPT,Consumer Cyclical,Specialty Retail,28.72,8.5,237.8823529,유통
US61945C1036,The Mosaic Company,MOS,Basic Materials,Agricultural Inputs,79.28,33.59,136.0226258,기타
US0090661010,"Airbnb, Inc.",ABNB,Consumer Cyclical,Travel Services,212.58,86.71,145.1620344,서비스/오락/문화
CA9237251058,Vermilion Energy Inc.,VET.TO,Energy,Oil & Gas E&P,39.21,11.15,251.6591928,화학
US6745991058,Occidental Petroleum Corporation,OXY,Energy,Oil & Gas E&P,77.13,26.05,196.084453,화학
CA6744822033,Obsidian Energy Ltd.,OBE.TO,Energy,Oil & Gas E&P,15.67,3.98,293.718593,화학
US25179M1036,Devon Energy Corporation,DVN,Energy,Oil & Gas E&P,79.4,34.91,127.4419937,화학
USN070592100,ASML Holding N.V.,ASML,Technology,Semiconductor Equipment & Materials,881.12,412.67,113.5168537,전기/전자
US30231G1022,Exxon Mobil Corporation,XOM,Energy,Oil & Gas Integrated,105.57,57.96,82.14285714,화학
CA13321L1085,Cameco Corporation,CCO.TO,Energy,Uranium,41.05,23.03,78.24576639,화학
US03837C1062,Apyx Medical Corporation,APYX,Healthcare,Medical Devices,17.5,3.01,481.3953488,의료/의약
US42227W1080,"Healthcare Triangle, Inc.",HCTI,Healthcare,Health Information Services,4.35,0.37,1075.675676,의료/의약
US35804X1019,"Fresh Vine Wine, Inc.",VINE,Consumer Defensive,Beverages—Wineries & Distilleries,9.75,1.44,577.0833333,제조
KYG3R33A1063,Ebang International Holdings Inc.,EBON,Technology,Computer Hardware,2.428,0.37,556.2162162,제조
US48208F1057,"Jupiter Wellness, Inc.",JUPW,Healthcare,Drug Manufacturers—Specialty & Generic,2.24,0.59,279.6610169,의료/의약
US92771A1016,"Virgin Orbit Holdings, Inc.",VORB,Industrials,Aerospace & Defense,11.28,2.59,335.5212355,제조
US03237H1014,"Amylyx Pharmaceuticals, Inc.",AMLX,Healthcare,Biotechnology,33.41,6.51,413.2104455,의료/의약
US7589321071,Regis Corporation,RGS,Consumer Cyclical,Personal Services,3.89,0.5,678,서비스/오락/문화
US19240Q2012,"Cogent Biosciences, Inc.",COGT,Healthcare,Biotechnology,18.07,3.79,376.7810026,의료/의약
US8261651025,"Sidus Space, Inc.",SIDU,Industrials,Aerospace & Defense,29.7,1.26,2257.142857,제조
US00973Y1082,"Akero Therapeutics, Inc.",AKRO,Healthcare,Biotechnology,29.78,7.52,296.0106383,의료/의약
US10920G1004,Bright Green Corporation,BGXX,Healthcare,Drug Manufacturers—Specialty & Generic,58,1,5700,의료/의약
US72703U1025,Planet Green Holdings Corp.,PLAG,Consumer Defensive,Packaged Foods,1.55,0.34,355.8823529,제조
US27888P1049,ECMOHO Limited,MOHOY,Consumer Cyclical,Internet Retail,0.894,0.0083,10671.08434,유통
US28531P1030,"electroCore, Inc.",ECOR,Healthcare,Medical Devices,1.14,0.265,330.1886792,의료/의약
KYG9471C1078,Vertical Aerospace Ltd.,EVTL,Industrials,Aerospace & Defense,18.44,2.72,577.9411765,제조
US8902608624,Tonix Pharmaceuticals Holding Corp.,TNXP,Healthcare,Biotechnology,20.16,0.52,3776.923077,의료/의약
US36117V1052,Future FinTech Group Inc.,FTFT,Technology,Software & Applicationpplication,2.44,0.36,577.7777778,IT
US16679L1098,"Chewy, Inc.",CHWY,Consumer Cyclical,Internet Retail,80.57,22.22,262.6012601,유통
US92671V1061,"View, Inc.",VIEW,Industrials,Building Products & Equipment,6.8,0.374,1718.181818,제조
US05351X1019,Avaya Holdings Corp.,AVYA,Technology,Software & Applicationpplication,22.47,0.596,3670.134228,IT
US45254U1016,Immuron Limited,IMRN,Healthcare,Biotechnology,4.478,2,123.9,의료/의약
US05581M4042,BTCS Inc.,BTCS,Financial Services,Capital Markets,8.92,1.33,570.6766917,금융업
US72703X1063,Planet Labs PBC,PL,Industrials,Aerospace & Defense,12.15,3.7,228.3783784,제조
IM00BMT7S123,Eros Media World Plc,EMWPF,Communication Services,Entertainment,19.2,0.01,191900,서비스/오락/문화
US92244V1044,"Vaxxinity, Inc.",VAXX,Healthcare,Biotechnology,22.77,1.51,1407.94702,의료/의약
US35803L1089,"Frequency Therapeutics, Inc.",FREQ,Healthcare,Biotechnology,7.88,1,688,의료/의약
US0906831039,biote Corp.,BTMD,Healthcare,Medical Care Facilities,10.525,2,426.25,의료/의약
US0077441055,"AeroClean Technologies, Inc.",AERC,Industrials,Pollution & Treatment Controls,117.35,1.76,6567.613636,제조
US34417J1043,Focus Universal Inc.,FCUV,Technology,Scientific & Technical Instruments,16.5,5.9,179.6610169,IT
US00430H1023,"Accelerate Diagnostics, Inc.",AXDX,Healthcare,Medical Devices,7.19,0.5,1338,의료/의약
US40434H2031,"HTG Molecular Diagnostics, Inc.",HTGM,Healthcare,Diagnostics & Research,6.33,0.46,1276.086957,의료/의약
KYG989A61029,TOP Financial Group Limited,TOP,Financial Services,Capital Markets,50.97,7,628.1428571,금융업
CA92838F1018,Visionary Education Technology Holdings Group Inc.,VEDU,Consumer Defensive,Education & Training Services,28,0.77,3536.363636,서비스/오락/문화
US8172252046,Senmiao Technology Limited,AIHS,Financial Services,Credit Services,7.6,0.701,984.1654779,금융업
US46267X1081,"iQIYI, Inc.",IQ,Communication Services,Entertainment,10.37,1.86,457.5268817,서비스/오락/문화
US55616P1049,"Macy's, Inc.",M,Consumer Cyclical,Department Stores,37.95,15.1,151.3245033,서비스/오락/문화
KYG651631007,"Joby Aviation, Inc.",JOBY,Industrials,Airports & Air Services,10.22,3.61,183.1024931,서비스/오락/문화
US69353Y1038,"PMV Pharmaceuticals, Inc.",PMVP,Healthcare,Biotechnology,30.48,8.99,239.0433815,의료/의약
US0167441049,"Allarity Therapeutics, Inc.",ALLR,Healthcare,Biotechnology,18.2,1.01,1701.980198,의료/의약
KYG394622081,G Medical Innovations Holdings Ltd,GMVD,Healthcare,Medical Instruments & Supplies,6.74,0.206,3171.84466,의료/의약
VGG5851A1093,Lytus Technologies Holdings PTV. Ltd.,LYT,Technology,Software & Applicationpplication,47.06,1.43,3190.909091,IT
US33749P1012,"First Wave BioPharma, Inc.",FWBI,Healthcare,Biotechnology,106.5,1.19,8849.579832,의료/의약
US87151X1019,Symbotic Inc.,SYM,Financial Services,Shell Companies,28.48,9.01,216.0932297,금융업
CA88340B1094,The Very Good Food Company Inc.,VERY.V,Consumer Defensive,Packaged Foods,3.68,0.17,2064.705882,제조
US74915J2069,Qutoutiao Inc.,QTT,Communication Services,Internet Content & Information,13.1,0.62,2012.903226,서비스/오락/문화
US08773T1043,"Better Therapeutics, Inc.",BTTX,Healthcare,Biotechnology,29.4,0.912,3123.684211,의료/의약
US05552Q2021,"BIMI International Medical, Inc.",BIMI,Healthcare,Pharmaceutical Retailers,13.35,0.28,4667.857143,의료/의약
US04238R1068,"Armstrong Flooring, Inc.",AFIIQ,Industrials,Building Products & Equipment,3.5,0.001,349900,제조
US41150T1088,"Harbor Custom Development, Inc.",HCDI,Real Estate,Real Estate—Development,3.8,0.86,341.8604651,건설업
US04523Y1055,"Aspen Aerogels, Inc.",ASPN,Industrials,Building Products & Equipment,65.99,7.93,732.1563682,제조
US75955K1025,"Remark Holdings, Inc.",MARK,Technology,Software—Infrastructure,6.7,0.27,2381.481481,IT
US76135L1017,"Revelation Biosciences, Inc.",REVB,Healthcare,Biotechnology,11.29,0.25,4416,의료/의약
US00437E1029,"Accolade, Inc.",ACCD,Healthcare,Health Information Services,43.1,4.61,834.9240781,의료/의약
US34629L1035,"Forge Global Holdings, Inc.",FRGE,Technology,Software & Applicationpplication,47.5,1.75,2614.285714,IT
KYG4013A1076,Golden Sun Education Group Limited,GSUN,Consumer Defensive,Education & Training Services,95,13.41,608.4265474,서비스/오락/문화
US71910P2039,Phoenix Motor Inc.,PEV,Consumer Cyclical,Auto Manufacturers,8.5,1.57,441.4012739,제조
SG9999014716,Wave Life Sciences Ltd.,WVE,Healthcare,Biotechnology,5.24,1.16,351.7241379,의료/의약
US54975P1021,Lufax Holding Ltd,LU,Financial Services,Credit Services,7.8,2.785,180.0718133,금융업
US04746L1044,"Athira Pharma, Inc.",ATHA,Healthcare,Biotechnology,16.65,2.53,558.1027668,의료/의약
US6993743029,"Paratek Pharmaceuticals, Inc.",PRTK,Healthcare,Biotechnology,5.41,1.6,238.125,의료/의약
JE00BLG2ZQ72,Quotient Limited,QTNT,Healthcare,Medical Devices,3.19,0.14,2178.571429,의료/의약
US74019P1084,"Precision BioSciences, Inc.",DTIL,Healthcare,Biotechnology,11.73,1.11,956.7567568,의료/의약
US91274U2006,"U.S. Well Services, Inc.",USWS,Energy,Oil & Gas Equipment & Services,20.34,3,578,화학
US90137F1030,"22nd Century Group, Inc.",XXII,Consumer Defensive,Tobacco,3.52,0.91,286.8131868,서비스/오락/문화
US14713L1026,"Casa Systems, Inc.",CASA,Technology,Communication Equipment,7.18,3.12,130.1282051,방송/통신
US16941T1043,"China Pharma Holdings, Inc.",CPHI,Healthcare,Drug Manufacturers—Specialty & Generic,0.79,0.13,507.6923077,의료/의약
US2498451085,"Dermata Therapeutics, Inc.",DRMA,Healthcare,Biotechnology,6.95,0.435,1497.701149,의료/의약
US75082Q1058,Rain Therapeutics Inc.,RAIN,Healthcare,Biotechnology,17.31,2.15,705.1162791,의료/의약
US45257U1088,"Immunome, Inc.",IMNM,Healthcare,Biotechnology,24.53,2.09,1073.684211,의료/의약
US09610B1089,"Blue Water Vaccines, Inc.",BWV,Healthcare,Biotechnology,90.9,1.68,5310.714286,의료/의약
US16948W2098,Green Giant Inc.,GGE,Real Estate,Real Estate—Development,3.8,0.87,336.7816092,건설업
US44170P1066,"Hour Loop, Inc.",HOUR,Consumer Cyclical,Internet Retail,10.33,1.88,449.4680851,유통
US2700871096,"Eargo, Inc.",EAR,Healthcare,Medical Devices,10.63,0.67,1486.567164,의료/의약
US83193E1029,Smart Share Global Limited,EM,Consumer Cyclical,Personal Services,3.779,0.6,529.8333333,서비스/오락/문화
US35655L1070,Freeline Therapeutics Holdings plc,FRLN,Healthcare,Biotechnology,3.54,0.65,444.6153846,의료/의약
SGXZ53262598,Eqonex Limited,EQOS,Financial Services,Capital Markets,7,0.371,1786.792453,금융업
US3724461047,"Genprex, Inc.",GNPX,Healthcare,Biotechnology,3.62,1.17,209.4017094,의료/의약
US0303821054,"American Virtual Cloud Technologies, Inc.",AVCT,Technology,Information Technology Services,3.13,0.132,2271.212121,IT
US24345A5074,"Decisionpoint Systems, Inc.",DPSI,Technology,Software & Applicationpplication,12.98,3.34,288.6227545,IT
US22529Y3099,"Creative Medical Technology Holdings, Inc.",CELZ,Healthcare,Biotechnology,9.5,0.4441,2039.157847,의료/의약
US02155H2004,"Altimmune, Inc.",ALT,Healthcare,Biotechnology,23.49,3.83,513.3159269,의료/의약
US84862C2035,"Splash Beverage Group, Inc.",SBEV,Consumer Defensive,Beverages—Brewers,5.6,0.99,465.6565657,제조
US68622E1047,"BARK, Inc.",BARK,Consumer Cyclical,Specialty Retail,7.6,1.25,508,유통
US8728852075,"TSR, Inc.",TSRI,Technology,Software & Applicationpplication,15.62,6.88,127.0348837,IT
US82452L2034,"ShiftPixy, Inc.",PIXY,Industrials,Staffing & Employment Services,203,11.06,1735.443038,제조
US44183U2096,Houston American Energy Corp.,HUSA,Energy,Oil & Gas E&P,16.61,1.07,1452.336449,화학
CA28474P2017,Electra Battery Materials Corporation,ELBM.V,Basic Materials,Other Industrial Metals & Mining,7.65,3.27,133.9449541,철강
US2214132068,Cosmos Holdings Inc.,COSM,Healthcare,Drug Manufacturers—Specialty & Generic,6,0.17,3429.411765,의료/의약
US7665596034,"Rigel Pharmaceuticals, Inc.",RIGL,Healthcare,Biotechnology,3.62,0.64,465.625,의료/의약
US1347481020,Canaan Inc.,CAN,Technology,Computer Hardware,11.19,2.56,337.109375,제조
US66538L1052,Northern Lights Acquisition Corp.,NLIT,Financial Services,Shell Companies,30.47,7.72,294.6891192,금융업
US83542D1028,Sonder Holdings Inc.,SOND,Consumer Cyclical,Lodging,10.88,0.901,1107.54717,서비스/오락/문화
US2787001096,"EBET, Inc.",EBET,Consumer Cyclical,Gambling,36.16,1.22,2863.934426,서비스/오락/문화
US90364P1057,UiPath Inc.,PATH,Technology,Software—Infrastructure,59.57,12.12,391.5016502,IT
US00091E1091,Absci Corporation,ABSI,Healthcare,Biotechnology,18.12,2.9,524.8275862,의료/의약
US0980703039,Bone Biologics Corporation,BBLG,Healthcare,Medical Devices,7.122,1.05,578.2857143,의료/의약
US7628312040,RiceBran Technologies,RIBT,Consumer Defensive,Packaged Foods,9,1.57,473.2484076,제조
US86184W1062,StoneMor Inc.,STON,Consumer Cyclical,Personal Services,3.5,2.08,68.26923077,서비스/오락/문화
US83558L2043,"Sonoma Pharmaceuticals, Inc.",SNOA,Healthcare,Drug Manufacturers—Specialty & Generic,7.2,2.07,247.826087,의료/의약
US2270461096,"Crocs, Inc.",CROX,Consumer Cyclical,Footwear & Accessories,183.88,46.08,299.0451389,제조
US89532M1018,"Trevi Therapeutics, Inc.",TRVI,Healthcare,Biotechnology,4.683,0.46,918.0434783,의료/의약
US98955H2004,Zhangmen Education Inc.,ZMENY,Consumer Defensive,Education & Training Services,8.11,0.12,6658.333333,서비스/오락/문화
US67092M2089,Nutriband Inc.,NTRB,Healthcare,Biotechnology,10.566,2.4099,338.4414291,의료/의약
US9118053076,U.S. Energy Corp.,USEG,Energy,Oil & Gas E&P,13.92,2.67,421.3483146,화학
US89157G5045,"ToughBuilt Industries, Inc.",TBLT,Industrials,Tools & Accessories,92.85,1.34,6829.104478,제조
US6760791060,"Odonate Therapeutics, Inc.",ODTC,Financial Services,Shell Companies,3.49,0.808,331.9306931,금융업
US09075X1081,"Biodesix, Inc.",BDSX,Healthcare,Diagnostics & Research,8.75,1.225,614.2857143,의료/의약
US55279B2025,"MEI Pharma, Inc.",MEIP,Healthcare,Biotechnology,3.55,0.39,810.2564103,의료/의약
US45249V1070,IMARA Inc.,IMRA,Healthcare,Biotechnology,4.36,0.974,347.6386037,의료/의약
KYG7415M1244,"Recon Technology, Ltd.",RCON,Energy,Oil & Gas Equipment & Services,3.06,0.5,512,화학
US04683R1068,"Atea Pharmaceuticals, Inc.",AVIR,Healthcare,Biotechnology,46.91,5.31,783.4274953,의료/의약
US87200P1093,"System1, Inc.",SST,Industrials,Specialty Business Services,37.1,6.2,498.3870968,제조
CH0048265513,Transocean Ltd.,RIG,Energy,Oil & Gas Drilling,5.56,2.32,139.6551724,화학
MHY673051212,Performance Shipping Inc.,PSHG,Industrials,Marine Shipping,6.1,0.21,2804.761905,운송/운수
VGG2161P1163,"China SXT Pharmaceuticals, Inc.",SXTC,Healthcare,Drug Manufacturers—Specialty & Generic,2.28,0.09,2433.333333,의료/의약
US6551871022,"Aclarion, Inc.",ACON,Healthcare,Health Information Services,4.05,0.783,417.2413793,의료/의약
US83085C1071,Sky Harbour Group Corporation,SKYH,Industrials,Aerospace & Defense,43.41,3.41,1173.020528,제조
US92337C1045,"Verastem, Inc.",VSTM,Healthcare,Biotechnology,3.3,0.85,288.2352941,의료/의약
US52886N4060,Lexaria Bioscience Corp.,LEXX,Healthcare,Biotechnology,7.15,1.85,286.4864865,의료/의약
US3073591097,Faraday Future Intelligent Electric Inc.,FFIE,Consumer Cyclical,Auto Manufacturers,9.71,0.695,1297.122302,제조
US49720K1016,"Kintara Therapeutics, Inc.",KTRA,Healthcare,Biotechnology,1.1,0.105,947.6190476,의료/의약
US74587B1017,"Pulse Biosciences, Inc.",PLSE,Healthcare,Medical Instruments & Supplies,24.58,1.18,1983.050847,의료/의약
US45168K4058,"Idera Pharmaceuticals, Inc.",IDRA,Healthcare,Biotechnology,1.06,0.3,253.3333333,의료/의약
US25445D1019,Dingdong  Limited,Cayman,Consumer Defensive,Grocery Stores,37.37,2.51,1388.844622,유통
US9168961038,Uranium Energy Corp.,UEC,Energy,Uranium,6.6,2.34,182.0512821,화학
US29268T4094,"Energy Focus, Inc.",EFOI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6.12,0.5,1124,제조
US15130G5018,"Cemtrex, Inc.",CETXP,Technology,Software—Infrastructure,3.543,0.5686,523.1093915,IT
US74365A3095,"Protalix BioTherapeutics, Inc.",PLX,Healthcare,Biotechnology,2,0.7,185.7142857,의료/의약
US85209E1091,"Spruce Biosciences, Inc.",SPRB,Healthcare,Biotechnology,5.983,1.16,415.7758621,의료/의약
US8964383066,Trinity Biotech plc,TRIB,Healthcare,Diagnostics & Research,2.5,0.86,190.6976744,의료/의약
US31187R1005,"Fast Radius, Inc.",FSRD,Technology,Software—Infrastructure,10.01,0.363,2657.575758,IT
US8454671095,Southwestern Energy Company,SWN,Energy,Oil & Gas E&P,9.87,3.81,159.0551181,화학
US6402681083,Nektar Therapeutics,NKTR,Healthcare,Biotechnology,18.69,2.96,531.4189189,의료/의약
AU0000198582,Cenntro Electric Group Limited,CENN,Consumer Cyclical,Auto Manufacturers,14.055,0.9514,1377.296616,제조
NL0015000TA9,Allego N.V.,ALLG,Consumer Cyclical,Auto Parts,28.44,3.35,748.9552239,IT
US55234L1052,"Lyra Therapeutics, Inc.",LYRA,Healthcare,Biotechnology,9.59,3.3,190.6060606,의료/의약
US94861A2078,Weidai Ltd.,WEIDY,Financial Services,Credit Services,5.7,0.09,6233.333333,금융업
US03837J1016,"Aqua Metals, Inc.",AQMS,Industrials,Waste Management,2.33,0.71,228.1690141,제조
CA98980M1095,Zomedica Corp.,ZOM,Healthcare,Drug Manufacturers—Specialty & Generic,0.63,0.175,260,의료/의약
US04965G1094,"Atreca, Inc.",BCEL,Healthcare,Biotechnology,6.51,1.5,334,의료/의약
IL0011475949,Rail Vision Ltd.,RVSN,Industrials,Railroads,3.14,0.65,383.0769231,제조
LU2360697374,FREYR Battery,FREY,Industrials,Electrical Equipment & Parts,16.57,6.42,158.0996885,전기/전자
US92864V1035,"Volcon, Inc.",VLCN,Consumer Cyclical,Auto Manufacturers,17.96,0.95,1790.526316,제조
US02079K3059,Alphabet Inc.,GOOGL,Communication Services,Internet Content & Information,151.55,95.96,57.93038766,서비스/오락/문화
US8552441094,Starbucks Corporation,SBUX,Consumer Cyclical,Restaurants,117.8,68.39,72.24740459,서비스/오락/문화
US7134481081,"PepsiCo, Inc.",PEP,Consumer Defensive,Beverages—Non-Alcoholic,181.07,149.48,21.13326197,제조
US7475251036,QUALCOMM Incorporated,QCOM,Technology,Semiconductors,193.58,113.46,70.61519478,전기/전자
US7427181091,The Procter & Gamble Company,PG,Consumer Defensive,Household & Personal Products,165.35,128.26,28.91782317,제조
US1912161007,The Coca-Cola Company,KO,Consumer Defensive,Beverages—Non-Alcoholic,67.2,52.28,28.5386381,제조
US0394831020,Archer-Daniels-Midland Company,ADM,Consumer Defensive,Farm Products,98.88,59.42,66.40861663,제조
US11135F1012,Broadcom Inc.,AVGO,Technology,Semiconductors,677.76,444.88,52.34670023,전기/전자
US30303M1027,"Meta Platforms, Inc.",META,Communication Services,Internet Content & Information,353.83,134.12,163.8159857,서비스/오락/문화
IL0065100930,ZIM Integrated Shipping Services Ltd.,ZIM,Industrials,Marine Shipping,91.23,22.78,300.4828797,운송/운수
US6541061031,"NIKE, Inc.",NKE,Consumer Cyclical,Footwear & Accessories,179.1,94.48,89.56392887,제조
US4781601046,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers—General,186.69,155.72,19.88826098,의료/의약
US91324P1021,UnitedHealth Group Incorporated,UNH,Healthcare,Healthcare Plans,553.29,383.12,44.41689288,의료/의약
US0605051046,Bank of America Corporation,BAC,Financial Services,Banks—Diversified,50.11,29.67,68.89113583,금융업
US0028241000,Abbott Laboratories,ABT,Healthcare,Medical Devices,142.6,97.54,46.19643223,의료/의약
US92826C8394,Visa Inc.,V,Financial Services,Credit Services,236.96,174.83,35.53737917,금융업
US88579Y1010,3M Company,MMM,Industrials,Conglomerates,186.3,111.42,67.20516963,제조
US4370761029,"The Home Depot, Inc.",HD,Consumer Cyclical,Home Improvement Retail,420.61,264.51,59.01478205,유통
US0846707026,Berkshire Hathaway Inc.,BRK-B,Financial Services,Insurance?봁iversified,362.1,261.55,38.44389218,금융업
US4581401001,Intel Corporation,INTC,Technology,Semiconductors,56.28,26.18,114.973262,전기/전자
US00287Y1091,AbbVie Inc.,ABBV,Healthcare,Drug Manufacturers—General,175.91,106.86,64.61725622,의료/의약
US03027X1000,American Tower Corporation,AMT,Real Estate,REIT—Specialty,294.4,211.38,39.27523891,금융업
US0231351067,"Amazon.com, Inc.",AMZN,Consumer Cyclical,Internet Retail,188.11,101.26,85.76930674,유통
US82837P4081,Silvergate Capital Corporation,SI,Financial Services,Banks—Regional,239.26,50.65,372.3790721,금융업
US06684L1035,Baozun Inc.,BZUN,Consumer Cyclical,Internet Retail,20.73,5.41,283.1792976,유통
US62914V1061,NIO Inc.,NIO,Consumer Cyclical,Auto Manufacturers,44.27,11.67,279.3487575,제조
US3453708600,Ford Motor Company,F,Consumer Cyclical,Auto Manufacturers,25.87,10.61,143.8265787,제조
US69608A1088,Palantir Technologies Inc.,PLTR,Technology,Software—Infrastructure,27.11,6.44,320.9627329,IT
US57055L1070,"Marker Therapeutics, Inc.",MRKR,Healthcare,Biotechnology,1.73,0.25,592,의료/의약
US3825501014,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,Auto Parts,24.89,10.2,144.0196078,IT
KYG717001013,"Pop Culture Group Co., Ltd",CPOP,Communication Services,Entertainment,4.33,0.72,501.3888889,서비스/오락/문화
